center_rmse,weight_l1,pred_nll,oracle_nll,energy_dist,mode_count_hat,mode_count_acc,sequence,step
2.5147244930267334,0.4771794378757477,8.953889846801758,1.2928398847579956,1.959841251373291,5.0,0.0,0,1
2.2874228954315186,0.6528430581092834,12.77072525024414,1.2648518085479736,1.889106273651123,5.0,0.0,0,2
2.759805917739868,0.5089969635009766,17.30100440979004,1.4939277172088623,1.42628812789917,5.0,0.0,0,3
2.1364858150482178,0.6528430581092834,17.277212142944336,1.326007604598999,1.9492466449737549,3.0,1.0,0,4
2.6595098972320557,0.5089969635009766,29.49388313293457,1.3551061153411865,1.788240909576416,4.0,0.0,0,5
2.4061427116394043,0.7589969635009766,24.345252990722656,1.3489763736724854,2.2491984367370605,4.0,0.0,0,6
2.2662904262542725,0.6528430581092834,12.093379974365234,1.3752617835998535,2.045642614364624,4.0,0.0,0,7
2.0283758640289307,0.6528430581092834,15.980164527893066,1.3372585773468018,2.1101016998291016,3.0,1.0,0,8
2.1263740062713623,0.8142921328544617,8.738330841064453,1.5397868156433105,1.4808876514434814,4.0,0.0,1,1
2.4135959148406982,0.39762550592422485,9.500182151794434,1.41866135597229,1.30177640914917,5.0,0.0,1,2
2.443058729171753,0.3018556237220764,11.207901000976562,1.4846320152282715,0.9409971237182617,5.0,0.0,1,3
1.9487712383270264,0.3018556237220764,9.029598236083984,1.3413338661193848,0.8053898811340332,4.0,0.0,1,4
1.9333868026733398,0.3018556237220764,13.076334953308105,1.357254981994629,1.15474271774292,5.0,0.0,1,5
2.527543067932129,0.468522310256958,26.424121856689453,1.3326621055603027,1.2168853282928467,3.0,1.0,1,6
2.698068857192993,0.6476255059242249,19.990442276000977,1.499714970588684,1.1433448791503906,5.0,0.0,1,7
1.7247105836868286,0.32089677453041077,9.562478065490723,1.3315739631652832,1.0941128730773926,4.0,0.0,1,8
2.705592632293701,0.51235431432724,4.539035797119141,1.6721510887145996,0.6135077476501465,5.0,0.0,2,1
1.5560243129730225,0.2376668006181717,3.931938648223877,1.5598671436309814,0.9339942932128906,5.0,0.0,2,2
2.659595489501953,0.8210001587867737,4.143288612365723,1.5769991874694824,0.5497574806213379,4.0,0.0,2,3
1.638257622718811,1.071000099182129,3.7994868755340576,1.614975094795227,0.7138831615447998,5.0,0.0,2,4
1.8458276987075806,1.071000099182129,3.813507556915283,1.5023372173309326,0.5753264427185059,4.0,0.0,2,5
1.4877984523773193,1.071000099182129,3.8350934982299805,1.5251961946487427,0.7753095626831055,4.0,0.0,2,6
1.3318554162979126,1.071000099182129,4.011765480041504,1.670105218887329,0.9539048671722412,4.0,0.0,2,7
1.541582465171814,1.071000099182129,4.755460739135742,1.5650337934494019,0.8773288726806641,5.0,0.0,2,8
1.9980189800262451,0.3537415564060211,3.7356696128845215,0.9747415781021118,0.7400126457214355,5.0,0.0,3,1
1.7092890739440918,0.2704082131385803,2.9732565879821777,0.9045462012290955,0.4971197843551636,4.0,0.0,3,2
1.6697500944137573,0.5386874079704285,6.106014251708984,0.8054637908935547,0.77198326587677,5.0,0.0,3,3
1.8999567031860352,0.28868746757507324,13.35493278503418,1.0256531238555908,0.45649659633636475,4.0,0.0,3,4
2.36075758934021,1.0204081535339355,4.594545841217041,0.7941359281539917,0.8438948392868042,4.0,0.0,3,5
2.987968921661377,0.6870748996734619,7.43074893951416,0.9637387990951538,0.4491245746612549,4.0,0.0,3,6
2.8136019706726074,0.7704082131385803,7.249394416809082,0.8665399551391602,0.7366213798522949,4.0,0.0,3,7
3.4542200565338135,0.7704082131385803,6.620161056518555,0.7044927477836609,0.41394639015197754,4.0,0.0,3,8
